"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d13C_dc","d15N_dc","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-333.1",NA,"N2_CO2+He_2.met",5.112,2,0,192.3,274.4,73.534,1.6472719,"33.5","23.9",2729,1903,0.6972954,6.583,"2024/11/18 16:12:08","Bkgrnd 29: 32",312.5,98.1,256.771,1.5483227,"0.1","0.2","2.3",7102,8012,9398,1.106166,1.321702,-35.918,21.93,4.29774788429333,-35.918,6.717203125,2.39292645529569,2.7801765911167,-24.361430342202,2.43902612707407,46.3100267839717,0,1,0,1,0,"241118_24-333.1.xls"
8,"24-333.2",NA,"N2_CO2+He_2.met",5.167,2,0,195.4,269.3,22.919,0.5079641,"34.7","24.8",815,564,0.6912429,-2.168,"2024/11/18 16:23:34","Bkgrnd 30: N/A",312.6,102.4,287.768,1.7167637,"0.2","0.2","2.3",7463,8395,9863,1.1034986,1.3206019,-38.261,20.86,3.13196626087727,-38.261,-2.014625,-5.9367829625576,-5.92477976224668,-26.8243341892071,0.752101249154753,51.3480483831248,0,1,0,1,0,"241118_24-333.1.xls"
9,"24-333.3",NA,"N2_CO2+He_2.met",5.345,2,0,194.2,272.1,32.22,0.6903208,"35.1","25",1134,786,0.6926239,-0.049,"2024/11/18 16:34:59","Primary He: 2400",313,102.9,297.693,1.7168293,"0.2","0.3","2.4",7624,8565,10075,1.1018164,1.320531,-39.967,20.946,3.47258737774883,-39.967,0.123546875000001,-4.11589322323497,-4.02186035534427,-28.6176393377308,1.02210834352295,51.3500437568796,0,1,0,1,0,"241118_24-333.1.xls"
10,"24-333.4",NA,"N2_CO2+He_2.met",5.24,2,0,193,271.8,56.751,1.2402489,"35.9","25.6",2210,1530,0.6919834,-1.017,"2024/11/18 16:46:25","Secondary He: 2500",310.7,99.5,284.68,1.6746799,"0.2","0.3","2.4",7765,8745,10260,1.1026041,1.3203786,-39.27,20.735,4.03867327735164,-39.27,-0.825281249999999,-5.12292188800698,-5.07425487881198,-27.8849701181991,1.8363748594733,50.0893706516002,0,1,0,1,0,"241118_24-333.1.xls"
12,"24-333.5",NA,"N2_CO2+He_2.met",5.205,2,0,194.5,271.1,30.749,0.6765044,"36.3","25.9",1101,762,0.6919978,-1.316,"2024/11/18 17:09:17","Peak Center: 58486",312.5,103,291.031,1.7235506,"0.2","0.2","2.3",7492,8422,9910,1.1023463,1.3216748,-39.657,21.679,3.42585747339853,-39.657,-1.0859375,-5.32057319371157,-5.28081022222601,-28.2917749789721,1.001680846539,51.5511576722609,0,1,0,1,0,"241118_24-333.1.xls"
13,"24-333.6",NA,"N2_CO2+He_2.met",5.112,2,0,193.6,277.2,49.843,1.1165444,"36.9","26.3",1718,1191,0.6927156,0.015,"2024/11/18 17:20:43","Job No-24-333.1",313.5,105.9,287.516,1.7337111,"0.2","0.3","2.4",7094,7959,9378,1.1021351,1.3215378,-39.969,21.479,3.90887806528407,-39.969,0.264234375000001,-4.02006173100671,-3.92171172887037,-28.6197416884324,1.65322679647174,51.8550524039725,0,1,0,1,0,"241118_24-333.1.xls"
14,"24-333.7",NA,"N2_CO2+He_2.met",5.084,2,0,193.3,274.3,53.05,1.1949517,"37.3","26.6",1947,1348,0.6920406,-1.028,"2024/11/18 17:32:09","Oxygen Tank: 1800",313,102.1,284.938,1.7276324,"0.2","0.3","2.4",7411,8339,9795,1.1040682,1.3210558,-38.167,21.128,3.97123486505999,-38.167,-0.759593749999999,-5.05030089611203,-4.99836236767245,-26.7255237062287,1.76928971643677,51.6731259206456,0,1,0,1,0,"241118_24-333.1.xls"
15,"24-333.8",NA,"N2_CO2+He_2.met",5.087,2,0,193.7,274.6,41.662,0.9378865,"37.5","26.6",1439,998,0.6935235,1.099,"2024/11/18 17:43:35","CO2 Peak Center: 9",313.2,101.9,283.564,1.7182831,"0.2","0.3","2.4",7383,8276,9758,1.099609,1.3209725,-42.351,21.034,3.72958944236172,-42.351,1.386578125,-2.87928492228473,-2.72954381151544,-31.1236413741201,1.38866498154322,51.3936261675205,0,1,0,1,0,"241118_24-333.1.xls"
18,"24-333.9",NA,"N2_CO2+He_2.met",5.109,2,0,194.3,273,44.727,1.0025291,"37.5","26.5",1647,1142,0.6933078,0.707,"2024/11/18 18:17:52",NA,313.3,101.3,282.623,1.7052085,"0.2","0.2","2.1",7416,8335,9816,1.1024468,1.3227157,-39.886,22.378,3.80057734611437,-39.886,1.05209375,-3.22106772022476,-3.0867236588726,-28.5324941343132,1.48440693175925,51.002504662607,0,1,0,1,0,"241118_24-333.1.xls"
19,"24-333.10",NA,"N2_CO2+He_2.met",5.156,2,0,193.8,273.6,50.162,1.1141112,"37.9","26.8",1860,1287,0.6917863,-1.45,"2024/11/18 18:29:17",NA,312.9,101,282.202,1.6871471,"0.2","0.3","2.3",7456,8383,9862,1.102419,1.3221196,-39.897,21.914,3.91525776793808,-39.897,-1.085734375,-5.37068639230622,-5.33318098146989,-28.5440570631723,1.64960909385149,50.462304919928,0,1,0,1,0,"241118_24-333.1.xls"
20,"24-333.11",NA,"N2_CO2+He_2.met",5.289,2,0,194.4,271.2,38.181,0.8266772,"38","26.9",1442,1000,0.6932848,0.743,"2024/11/18 18:40:44",NA,312.3,99.6,272.329,1.5871775,"0.2","0.3","2.3",7374,8323,9749,1.1066919,1.3219034,-35.9,21.706,3.64233800967802,-35.9,1.1264375,-3.13045503506805,-2.99202894267283,-24.3425091858869,1.22403218877113,47.4722951533586,0,1,0,1,0,"241118_24-333.1.xls"
21,"24-333.12",NA,"N2_CO2+He_2.met",5.194,2,0,193.6,279.9,55.687,1.2277651,"38","27",1837,1272,0.6923585,-0.655,"2024/11/18 18:52:09",NA,314.3,107.3,291.111,1.727677,"0.2","0.3","2.3",6964,7801,9208,1.1022577,1.3224971,-39.891,21.589,4.01974672651507,-39.891,-0.252390624999998,-4.54808538257526,-4.47352243556756,-28.5377500110673,1.81790416062965,51.6745348119301,0,1,0,1,0,"241118_24-333.1.xls"
23,"24-333.13",NA,"N2_CO2+He_2.met",5.05,2,0,193.5,273.9,49.677,1.126509,"38","27",1799,1247,0.6929383,0.13,"2024/11/18 19:15:01",NA,313,101.7,278.894,1.7023658,"0.2","0.2","2.2",7259,8139,9604,1.1002411,1.3224801,-41.892,22.121,3.90554204932846,-41.892,0.570953125000002,-3.71299999784913,-3.60081710327926,-30.6411518880871,1.66795023808138,50.9175733724847,0,1,0,1,0,"241118_24-333.1.xls"
24,"24-333.14",NA,"N2_CO2+He_2.met",5.228,2,0,193.7,272.9,46.663,1.022131,"38.2","26.8",1714,1186,0.6923142,-0.757,"2024/11/18 19:26:27",NA,313,99.8,272.105,1.60438,"0.2","0.3","2.3",7297,8212,9651,1.1035975,1.3220141,-38.639,21.829,3.84295155942573,-38.639,-0.296874999999998,-4.57439305654649,-4.50101524980514,-27.2216784718226,1.51340855459526,47.9866959266988,0,1,0,1,0,"241118_24-333.1.xls"
25,"24-333.15",NA,"N2_CO2+He_2.met",5.099,2,0,194.7,275.5,34.41,0.7728002,"38.3","27.2",1164,809,0.6947996,2.9,"2024/11/18 19:37:53",NA,314,104.7,285.132,1.7237175,"0.2","0.3","2.3",7092,7942,9380,1.1001975,1.3223724,-41.828,22.099,3.53834721980939,-41.828,3.379296875,-0.866904137622575,-0.626506836505833,-30.5738766656337,1.14424432607944,51.5561944780352,0,1,0,1,0,"241118_24-333.1.xls"
26,"24-333.16",NA,"N2_CO2+He_2.met",5.306,2,0,194,277.6,50.711,1.094471,"38.4","27.3",1754,1223,0.6970611,6.121,"2024/11/18 19:49:19",NA,313.7,106,300.016,1.7429445,"0.2","0.3","2.2",7343,8243,9710,1.1027911,1.3220838,-39.424,21.831,3.92614284958883,-39.424,6.61946875,2.33339761344353,2.71796602120431,-28.0468511222276,1.62051865925682,52.1311224185317,0,1,0,1,0,"241118_24-333.1.xls"
28,"24-333.17",NA,"N2_CO2+He_2.met",5.263,2,0,191.8,277.3,138.014,3.0030013,"38.2","27.1",5403,3760,0.6955336,3.857,"2024/11/18 20:12:12",NA,312.5,95.1,244.621,1.4327339,"0.1","0.2","2.2",7021,8022,9289,1.1192759,1.3224486,-24.033,22.062,4.92735512928694,-24.033,4.3938125,0.0048045209154175,0.284471619616321,-11.8682112975342,4.44640358857969,42.8529053905801,0,1,0,1,0,"241118_24-333.1.xls"
29,"24-333.18",NA,"N2_CO2+He_2.met",5.064,2,0,192.7,275.4,70.356,1.5910237,"38.5","27.4",2602,1809,0.6952033,3.441,"2024/11/18 20:23:38",NA,313.4,98.3,255.548,1.5555495,"0.2","0.3","2.3",6995,7872,9250,1.1039606,1.3222719,-38.441,21.968,4.25356806777008,-38.441,3.996984375,-0.32275007033432,-0.057839051397169,-27.0135457523573,2.35573562758782,46.5263190209034,0,1,0,1,0,"241118_24-333.1.xls"
30,"24-333.19",NA,"N2_CO2+He_2.met",5.318,2,0,192.9,276.8,77.294,1.6644301,"38.7","27.5",2888,2003,0.693344,0.743,"2024/11/18 20:35:04",NA,311.8,102.6,301.244,1.7461287,"0.2","0.3","2.3",7837,8793,10363,1.099593,1.3217122,-42.489,21.31,4.34761633291717,-42.489,1.31815625,-3.01124750488614,-2.86745120590309,-31.2687035725353,2.464430396353,52.2263863921781,0,1,0,1,0,"241118_24-333.1.xls"
31,"24-333.20",NA,"N2_CO2+He_2.met",5.06,2,0,193.6,275.1,48.987,1.1086509,"38.6","27.4",1760,1220,0.6930315,0.337,"2024/11/18 20:46:30",NA,313.7,101.1,268.335,1.6346813,"0.2","0.3","2.4",7054,7934,9327,1.1038478,1.3220093,-38.427,21.797,3.89155495678828,-38.427,0.931328125000003,-3.35118695401824,-3.22270466302115,-26.9988292974457,1.64153230453754,48.8930028603623,0,1,0,1,0,"241118_24-333.1.xls"
34,"24-333.21",NA,"N2_CO2+He_2.met",5.158,2,0,195.5,272.1,28.615,0.6353041,"38.3","27.2",1016,702,0.6914847,-1.872,"2024/11/18 21:20:49",NA,312.6,104.2,296.195,1.7701165,"0.1","0.2","2.1",7550,8491,9999,1.1027843,1.3229591,-39.555,22.504,3.35393105586107,-39.555,-1.22015625,-5.44739703009954,-5.41334737387708,-28.184555093187,0.940657493146821,52.94394395388,0,1,0,1,0,"241118_24-333.1.xls"
35,"24-333.22",NA,"N2_CO2+He_2.met",5.042,2,0,193.3,273.4,59.881,1.3600437,"38.4","27.3",2263,1566,0.6920398,-1.168,"2024/11/18 21:32:15",NA,313.1,98.5,265.455,1.6229098,"0.2","0.3","2.3",7274,8162,9620,1.1001767,1.3219938,-41.88,21.761,4.09235925947878,-41.88,-0.496984374999997,-4.8001445872274,-4.73693671149147,-30.6285377838771,2.01374887103127,48.5409166655563,0,1,0,1,0,"241118_24-333.1.xls"
36,"24-333.23",NA,"N2_CO2+He_2.met",5.03,2,0,193.7,273.8,50.751,1.1554317,"38.5","27.3",1882,1309,0.6951488,3.321,"2024/11/18 21:43:42",NA,312.6,101.1,282.271,1.7298358,"0.2","0.2","2.2",7480,8423,9890,1.1034215,1.321772,-38.845,21.582,3.92693132216126,-38.845,4.0111875,-0.274964701160518,-0.00790098848038262,-27.4382205940945,1.71078615086454,51.7390180026743,0,1,0,1,0,"241118_24-333.1.xls"
37,"24-333.24",NA,"N2_CO2+He_2.met",5.123,2,0,193.8,279.3,52.12,1.1650637,"38.6","27.4",1762,1219,0.6918488,-1.393,"2024/11/18 21:55:08",NA,313.8,106.9,287.217,1.728193,"0.2","0.3","2.4",7008,7871,9266,1.1030863,1.3224055,-39.181,21.74,3.95354875225664,-39.181,-0.683640624999996,-4.97252942285014,-4.91708734998329,-27.7914155119749,1.72503995315672,51.6898998402876,0,1,0,1,0,"241118_24-333.1.xls"
39,"24-333.25",NA,"N2_CO2+He_2.met",5.274,2,0,193.2,283.3,72.257,1.5689462,"38.1","27",2372,1645,0.6933043,0.655,"2024/11/18 22:18:01",NA,314.7,108.8,282.123,1.6489404,"0.2","0.3","2.3",6601,7401,8734,1.1039194,1.3233442,-38.513,22.771,4.28022920811256,-38.513,1.402703125,-2.91977241097084,-2.7718552301004,-27.0892303776174,2.32305187446774,49.3194554445799,0,1,0,1,0,"241118_24-333.1.xls"
40,"24-333.26",NA,"N2_CO2+He_2.met",5.022,2,0,195.4,275.5,27.78,0.6334536,"38.9","27.6",925,640,0.6922755,-0.755,"2024/11/18 22:29:27",NA,313.6,106.6,284.894,1.748689,"0.2","0.3","2.2",7015,7877,9279,1.1018377,1.3226092,-40.314,22.297,3.3243163373262,-40.314,0.0118750000000037,-4.2123210255753,-4.12263215523735,-28.9823971844703,0.937939098324272,52.3029878951784,0,1,0,1,0,"241118_24-333.1.xls"
41,"24-333.27",NA,"N2_CO2+He_2.met",5.589,2,0,194.1,271,43.293,0.8870561,"38.7","27.5",1687,1170,0.6932885,0.692,"2024/11/18 22:40:53",NA,309.7,102.3,317.622,1.7517905,"0.2","0.3","2.2",8377,9448,11075,1.1035877,1.3210168,-38.727,21.04,3.76799095912205,-38.727,1.478046875,-2.79176431691275,-2.63808047089156,-27.314181902696,1.31341713765125,52.3957874043276,0,1,0,1,0,"241118_24-333.1.xls"
42,"24-333.28",NA,"N2_CO2+He_2.met",5.252,2,0,193.4,275.7,59.6,1.2995298,"38.4","27.3",2182,1514,0.6938282,1.475,"2024/11/18 22:52:19",NA,313.4,101.5,281.129,1.6500115,"0.3","0.4","2.3",7377,8306,9752,1.1048032,1.32156,-37.578,21.43,4.0876555740713,-37.578,2.28021875,-2.02245786595725,-1.83411736221755,-26.1063814245872,1.9241576389176,49.351554314795,0,1,0,1,0,"241118_24-333.1.xls"
44,"24-333.29",NA,"N2_CO2+He_2.met",5.456,2,0,193.9,281.8,56.209,1.1797795,"38.2","27.1",1899,1314,0.6922102,-1.146,"2024/11/18 23:15:12",NA,313.9,109.2,303.332,1.7137607,"0.2","0.3","2.2",7235,8126,9573,1.1025867,1.3227116,-39.714,22.265,4.02907688642698,-39.714,-0.302437499999996,-4.59909151189234,-4.52682635136894,-28.3516919739696,1.74682984856438,51.258249633749,0,1,0,1,0,"241118_24-333.1.xls"
45,"24-333.30",NA,"N2_CO2+He_2.met",5.172,2,0,192.9,276.1,69.846,1.5465027,"38.7","27.5",2583,1795,0.6946809,2.632,"2024/11/18 23:26:38",NA,313.4,102.6,278.923,1.6623879,"0.2","0.3","2.3",7230,8142,9560,1.1052091,1.3220271,-37.224,21.723,4.24629281849416,-37.224,3.494734375,-0.824252085911581,-0.581933343013994,-25.7342653503918,2.28982414433439,49.7216710852334,0,1,0,1,0,"241118_24-333.1.xls"
46,"24-333.31",NA,"N2_CO2+He_2.met",5.445,2,0,193.5,283.1,62.941,1.3237291,"38.7","27.4",2075,1438,0.6933531,0.802,"2024/11/18 23:38:05",NA,314,112.1,305.162,1.7275809,"0.3","0.3","2.2",7130,8006,9427,1.1028123,1.3223407,-39.443,22.061,4.14219777965749,-39.443,1.68390625,-2.62437797039979,-2.46315349955913,-28.0668234538935,1.95999453983164,51.6716670713845,0,1,0,1,0,"241118_24-333.1.xls"
