"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-333.32",NA,"N2_CO2+He_2.met",5.213,2,0,193.6,276.6,69.707,1.5312759,"23.3","16.7",2574,1789,0.6949621,2.767,"2024/11/19 13:13:49","Bkgrnd 29: 32",314.5,102.6,276.335,1.6340085,"0.1","0.1","1.7",7333,8249,9715,1.1027915,1.3235765,-40.343,22.273,4.24430074313975,-1.09893568032119,-1.4442393049461,-29.0718907094067,2.36776638728171,48.2946619284233,0,0,0,0,0,"241119_24-333.2.xls"
8,"24-333.33",NA,"N2_CO2+He_2.met",5.053,2,0,194.5,274.7,35.514,0.804863,"23.7","17",1258,871,0.6926533,-0.343,"2024/11/19 13:25:14","Bkgrnd 30: N/A",314.5,125.1,283.087,1.7269361,"0.2","0.2","1.8",6902,7751,9132,1.1019332,1.3231735,-41.038,22.264,3.56992698493664,-4.22439620077762,-4.47536900050189,-29.8086546274387,1.24451597523028,51.0412836206975,0,0,0,0,0,"241119_24-333.2.xls"
9,"24-333.34",NA,"N2_CO2+He_2.met",5.038,2,0,193.5,274.6,61.998,1.4092532,"23.6","17",2321,1610,0.6935508,1.068,"2024/11/19 13:36:40","Primary He: 2400",313.8,101.4,276.115,1.6894193,"0.2","0.2","1.8",7418,8358,9801,1.1041285,1.3210282,-38.721,20.449,4.12710212646027,-2.80062254585917,-3.09456685089001,-27.3524215366757,2.17906256728611,49.9324409677972,0,0,0,0,0,"241119_24-333.2.xls"
10,"24-333.35",NA,"N2_CO2+He_2.met",5.202,2,0,193.5,273.7,43.051,0.9477183,"23.8","17.1",1566,1087,0.6937701,1.247,"2024/11/19 13:48:06","Secondary He: 2500",313.4,105.2,287.091,1.7011983,"0.2","0.2","1.9",7369,8283,9734,1.1022076,1.3205401,-40.524,20.104,3.76238545940767,-2.62998394697121,-2.92907836658121,-29.2637673556855,1.46542325669697,50.2805697444732,0,0,0,0,0,"241119_24-333.2.xls"
12,"24-333.36",NA,"N2_CO2+He_2.met",5.107,2,0,193.9,279.1,55.316,1.2403742,"23.6","16.9",1978,1372,0.6938802,1.554,"2024/11/19 14:10:57","Peak Center: 58486",314.7,109.2,287.26,1.7338632,"0.1","0.2","1.9",7124,8015,9419,1.1037218,1.3214525,-38.969,20.846,4.01306219760241,-2.31723699612731,-2.62577056163762,-27.6153243448368,1.9179403401137,51.2460337501434,0,0,0,0,0,"241119_24-333.2.xls"
13,"24-333.37",NA,"N2_CO2+He_2.met",5.238,2,0,194.4,272.3,33.347,0.7290428,"23.9","17.2",1206,834,0.6915501,-1.811,"2024/11/19 14:22:23","Job No-24-333.2",313.4,122.7,293.015,1.7243678,"0.2","0.2","1.9",7253,8166,9580,1.1037584,1.32139,-38.948,20.992,3.50696781329295,-5.69383958665863,-5.90046250391672,-27.5930624135006,1.1273050671357,50.9653861624774,0,0,0,0,0,"241119_24-333.2.xls"
14,"24-333.38",NA,"N2_CO2+He_2.met",5.148,2,0,193,283.9,63.999,1.4236525,"23.7","17.1",2230,1548,0.6940505,1.829,"2024/11/19 14:33:49","Oxygen Tank: 1800",314.9,113.9,289.887,1.7357869,"0.2","0.3","2",6884,7724,9088,1.1018315,1.3205916,-40.825,20.186,4.1588674582376,-2.03889430197991,-2.35582864419885,-29.5828550381713,2.20132838451208,51.3028109787727,0,0,0,0,0,"241119_24-333.2.xls"
15,"24-333.39",NA,"N2_CO2+He_2.met",5.023,2,0,194,283.3,43.003,0.980409,"24","17.3",1397,968,0.6932978,0.705,"2024/11/19 14:45:15","CO2 Peak Center: 9",315.2,113.7,281.039,1.7246808,"0.2","0.3","2.1",6695,7516,8840,1.1028907,1.3206378,-39.796,20.247,3.76126988070179,-3.17200952244356,-3.45474484254905,-28.4920204026965,1.51595307976129,50.9746641755085,0,0,0,0,0,"241119_24-333.2.xls"
18,"24-333.40",NA,"N2_CO2+He_2.met",5.07,2,0,194.9,284.8,40.211,0.9082488,"23.5","16.8",1336,929,0.6950374,3.197,"2024/11/19 15:19:33",NA,315.9,128.6,284.179,1.7277871,"0.2","0.2","2",6636,7467,8774,1.1046598,1.3221784,-38.139,21.461,3.69414059003541,-0.681548511407684,-1.03944947190962,-26.7354480110719,1.40438796139714,51.0663693834557,0,0,0,0,0,"241119_24-333.2.xls"
19,"24-333.41",NA,"N2_CO2+He_2.met",5.154,2,0,193.4,273.3,56.082,1.2460877,"24","17.3",2129,1475,0.6926668,-0.267,"2024/11/19 15:30:59",NA,312.9,103.7,290.061,1.7348045,"0.2","0.2","2",7618,8584,10064,1.1036774,1.3205236,-38.982,20.253,4.0268149054285,-4.13792170506195,-4.39150442753531,-27.6291055404259,1.92676727975754,51.2738449382435,0,0,0,0,0,"241119_24-333.2.xls"
